id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13662265,INMálaga Apartments Constitución 4,79418042,INMálaga,,Centro,36.71958,-4.42222,Entire home/apt,112,1,5,2023-01-31,0.05,41,300,0,A/MA/01446
13662266,INMálaga Apartments Granada,79418042,INMálaga,,Centro,36.72165,-4.42,Entire home/apt,159,1,23,2024-10-20,0.23,41,308,4,A/MA/01447
13662267,INMálaga Apartments Constitución 3,79418042,INMálaga,,Centro,36.71958,-4.42222,Entire home/apt,95,1,7,2024-11-18,0.07,41,342,1,A/MA/01446
13662272,INMálaga Apartments Constitución 5,79418042,INMálaga,,Centro,36.71958,-4.42222,Entire home/apt,109,1,5,2023-09-04,0.05,41,279,0,A/MA/01446
13678279,"Double bed, sofa bed, Air Con, TV, big cozy room",74965400,Malena,,Bailen-Miraflores,36.72427,-4.43486,Private room,43,1,36,2023-10-01,0.35,7,130,0,VFT/MA/03833
13705426,Fabuloso apartamento con todas las comodidades!,79984522,Yolanda,,Bailen-Miraflores,36.7218,-4.4348,Entire home/apt,80,28,61,2024-12-14,0.60,1,90,10,VFT/MA/15719
13765463,Beautiful Andalusian style house with sea views,2137348,Paqui,,Este,36.7231,-4.37834,Entire home/apt,121,2,66,2020-02-29,0.66,1,116,0,CTC-2017081322
13778094,New luxury house in the center! Nuevo Piso de lujo,80885889,Ana Maria,,Centro,36.71578,-4.42331,Entire home/apt,152,5,19,2024-11-25,0.19,1,353,14,VUT/MA/09233
13781514,Apartamento en pleno centro Histórico de Málaga,74648547,Merete,,Centro,36.72377,-4.41544,Entire home/apt,113,3,238,2024-12-17,2.32,1,135,28,VFT/MA/06481
13787511,CITY CENTER. BEAUTIFUL APARTMENT.,80991994,Alejandro,,Centro,36.7226,-4.43226,Entire home/apt,81,3,21,2020-01-01,0.21,1,0,0,VFT/ MA/ 20974
13812749,Malagueta Suites,22947028,Jose Ignacio,,Centro,36.71929,-4.4093,Entire home/apt,400,30,18,2020-03-01,0.18,4,0,0,VFT/MA/03028
13824683,"Casa con piscina,cerca de la  feria",81473592,Juan Antonio,,Teatinos-Universidad,36.72208,-4.47465,Entire home/apt,110,2,13,2024-08-20,0.13,1,86,2,Exempt
13857812,Apartamento en Villa junto Club de Golf. Reformed,81870487,Francisco,,Este,36.71729,-4.3432,Entire home/apt,78,2,22,2024-04-17,0.21,1,88,1,vft/ma/05094
