Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2022M04;25.197.638
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2022M03;17.632.648
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2022M02;13.623.546
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2022M01;10.598.385
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2021M12;13.220.155
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2021M11;14.930.647
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2021M10;23.935.219
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2021M09;25.679.512
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2021M08;34.460.041
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2021M07;26.351.353
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2021M06;14.259.621
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2021M05;7.342.738
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2021M04;4.142.415
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2021M03;3.588.559
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2021M02;2.436.961
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2021M01;2.459.473
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2020M12;3.245.991
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2020M11;2.874.269
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2020M10;5.128.825
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2020M09;8.219.094
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2020M08;16.927.211
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2020M07;11.731.245
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2020M06;1.870.057
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2020M05;271.149
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2020M04;0
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2020M03;8.372.820
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2020M02;17.614.206
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2020M01;15.968.171
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;RESIDENCIA/ORIGEN;Total;Total Nacional;Total Nacional;Concepto turístico;Pernoctaciones;2019M12;16.966.744
