Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;PERIODO;VALOR
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2021M09;94,06
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2021M08;114,60
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2021M07;103,32
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2021M06;85,70
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2021M05;76,50
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2021M04;70,66
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2021M03;66,04
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2021M02;60,50
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2021M01;62,21
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2020M12;72,24
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2020M11;64,01
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2020M10;64,34
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2020M09;73,18
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2020M08;97,04
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2020M07;89,10
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2020M06;58,91
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2020M05;..
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2020M04;0,00
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2020M03;78,19
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2020M02;83,62
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2020M01;82,15
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2019M12;86,13
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2019M11;83,63
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2019M10;85,77
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2019M09;94,23
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2019M08;109,28
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2019M07;103,14
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2019M06;93,11
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2019M05;83,50
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2019M04;83,73
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2019M03;81,34
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2019M02;84,20
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2019M01;81,37
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2018M12;82,81
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2018M11;82,03
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2018M10;83,84
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2018M09;90,23
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2018M08;107,07
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2018M07;101,10
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2018M06;88,87
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2018M05;80,75
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2018M04;80,58
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2018M03;81,74
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2018M02;84,01
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2018M01;80,10
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2017M12;82,13
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2017M11;79,43
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2017M10;81,87
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2017M09;89,59
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2017M08;105,41
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2017M07;98,04
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2017M06;87,29
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2017M05;79,70
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2017M04;80,79
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2017M03;77,67
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2017M02;80,09
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2017M01;78,24
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2016M12;79,73
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2016M11;76,57
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2016M10;77,71
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2016M09;84,12
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2016M08;99,60
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2016M07;92,81
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2016M06;79,90
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2016M05;73,91
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2016M04;73,03
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2016M03;75,02
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2016M02;77,33
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2016M01;73,03
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2015M12;75,64
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2015M11;75,16
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2015M10;74,85
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2015M09;79,99
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2015M08;95,30
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2015M07;87,68
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2015M06;76,05
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2015M05;71,49
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2015M04;71,07
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2015M03;74,02
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2015M02;70,95
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2015M01;71,66
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2014M12;72,52
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2014M11;70,43
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2014M10;69,60
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2014M09;75,78
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2014M08;88,89
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2014M07;81,31
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2014M06;70,93
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2014M05;67,30
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2014M04;69,01
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2014M03;68,30
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2014M02;71,99
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2014M01;69,82
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2013M12;70,75
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2013M11;69,56
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2013M10;67,92
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2013M09;72,20
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2013M08;85,17
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2013M07;79,01
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2013M06;69,27
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2013M05;64,96
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2013M04;66,01
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2013M03;68,12
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2013M02;69,83
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2013M01;67,94
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2012M12;70,00
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2012M11;69,77
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2012M10;67,61
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2012M09;70,69
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2012M08;84,05
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2012M07;77,85
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2012M06;68,24
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2012M05;64,52
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2012M04;68,04
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2012M03;66,82
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2012M02;68,78
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2012M01;67,57
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2011M12;69,12
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2011M11;68,54
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2011M10;66,89
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2011M09;70,19
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2011M08;81,75
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Tarifa media diaria (ADR);2011M07;75,34
