Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;PERIODO;VALOR
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2021M05;127,15
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2021M04;88,06
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2021M03;91,55
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2021M02;88,40
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2021M01;95,25
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2020M12;96,65
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2020M11;90,08
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2020M10;94,97
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2020M09;100,55
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2020M08;112,04
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2020M07;112,49
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2020M06;107,32
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2020M05;..
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2020M04;110,01
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2020M03;99,31
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2020M02;103,94
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2020M01;106,46
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2019M12;109,74
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2019M11;108,76
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2019M10;111,71
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2019M09;116,63
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2019M08;123,21
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2019M07;121,74
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2019M06;120,97
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2019M05;112,28
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2019M04;110,01
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2019M03;102,82
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2019M02;103,03
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2019M01;105,41
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2018M12;106,92
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2018M11;107,19
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2018M10;110,00
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2018M09;112,49
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2018M08;120,60
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2018M07;120,03
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2018M06;116,80
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2018M05;109,30
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2018M04;106,01
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2018M03;103,57
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2018M02;102,12
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2018M01;104,11
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2017M12;106,29
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2017M11;104,49
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2017M10;108,22
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2017M09;111,94
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2017M08;119,77
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2017M07;118,10
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2017M06;114,78
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2017M05;107,80
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2017M04;106,54
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2017M03;98,62
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2017M02;98,85
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2017M01;100,87
