comunidad_autonoma,periodo,duracion_media_viaje,gasto_medio_diario,gasto_medio_persona
Andalucia,2020-02-01,8.5,125.0,1062.0
Andalucia,2020-03-01,8.88,126.0,1116.0
Andalucia,2020-04-01,0.0,0.0,0.0
Andalucia,2020-05-01,0.0,0.0,0.0
Andalucia,2020-06-01,5.84,121.0,709.0
Andalucia,2020-07-01,8.88,110.0,978.0
Andalucia,2020-08-01,9.4,113.0,1062.0
Andalucia,2020-09-01,9.3,99.0,916.0
Andalucia,2020-10-01,10.14,104.0,1053.0
Andalucia,2020-11-01,12.13,102.0,1233.0
Andalucia,2020-12-01,15.26,87.0,1335.0
Andalucia,2021-01-01,11.62,85.0,991.0
Andalucia,2021-02-01,11.78,100.0,1175.0
Andalucia,2021-03-01,10.96,91.0,995.0
Andalucia,2021-04-01,9.76,106.0,1038.0
Andalucia,2021-05-01,8.82,111.0,982.0
Andalucia,2021-06-01,8.51,121.0,1027.0
Andalucia,2021-07-01,10.24,116.0,1191.0
Andalucia,2021-08-01,10.22,119.0,1216.0
Andalucia,2021-09-01,8.92,117.0,1048.0
