comunidad_autonoma,año,precio_m2,variacion_mensual,variacion_trimestral,variacion_anual,es_alquiler
Comunitat Valenciana,2021,7.7,0.6,0.8,1.2,True
Pais Vasco,2021,12.0,-1.1,-0.8,-1.0,True
Extremadura,2021,5.4,0.3,-1.4,3.8,True
Galicia,2021,7.1,0.5,1.4,2.9,True
"Rioja, La",2021,6.8,0.5,-1.3,2.6,True
"Madrid, Comunidad de",2021,13.3,-1.0,-2.4,-4.3,True
Melilla,2021,9.0,-1.1,-0.4,5.5,True
"Murcia, Region de",2021,6.5,-1.2,-4.5,2.2,True
"Navarra, Comunidad Foral de",2021,9.0,1.7,1.5,4.1,True
Andalucia,2018,7.8,0.3,2.3,8.8,True
Aragon,2018,7.2,0.8,1.1,5.8,True
"Asturias, Principado de",2018,6.9,1.2,1.0,4.4,True
"Balears, Illes",2018,12.2,0.1,0.8,3.2,True
Canarias,2018,9.6,2.0,2.4,10.5,True
Canarias,2018,7.3,1.2,2.7,7.3,True
Castilla y Leon,2018,6.1,0.4,-1.0,5.4,True
Castilla - La Mancha,2018,5.1,1.3,0.1,6.7,True
Cataluña,2018,13.3,-0.7,0.1,2.3,True
Comunitat Valenciana,2018,6.9,-0.5,0.0,8.2,True
Pais Vasco,2018,11.2,-0.5,0.6,3.7,True
Extremadura,2018,4.8,3.4,0.8,3.2,True
Galicia,2018,6.1,-0.2,1.8,5.0,True
"Rioja, La",2018,6.0,1.3,-4.0,8.8,True
"Madrid, Comunidad de",2018,13.8,-0.7,-1.1,9.2,True
Melilla,2018,8.5,0.8,5.3,0.0,True
"Murcia, Region de",2018,5.7,-1.4,-5.4,6.6,True
"Navarra, Comunidad Foral de",2018,7.7,0.3,1.3,10.1,True
