id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
675662438083857719,"Villa Massana, fantástica casa con piscina",27227483,Biel,,Sóller,39.7729209,2.7157672,Entire home/apt,455,100,10,2024-09-30,0.37,12,23,5,
675820588267205375,"Issamar, Finca 5StarsHome Mallorca",76875955,Team FiveStarsHome,,Manacor,39.54061,3.24006,Entire home/apt,464,1,0,,,142,86,0,ETV/1910
675933323907116315,Can Yuca II - Villa de plage bohème à s'Amarador,28086506,Diane,,Santanyí,39.343391672829696,3.184244601271591,Entire home/apt,209,2,69,2024-11-30,2.48,2,256,35,ETV/7755
676126695270541732,"4 bedrooms, roof top pool sea view ETVPL/14083",84107857,Clair,,Pollença,39.90743909676863,3.0827218294143677,Entire home/apt,,5,14,2024-10-17,0.75,6,0,6,ETVPL/14083
676477998626810480,Luxury 5-bedroom villa Mallorca villa 1001,408292592,Sigita,,Calvià,39.5815,2.51203,Entire home/apt,1103,7,1,2023-08-19,0.06,1,168,0,
676507695454733636,Es Pujol,432584184,Holidu,,Alcúdia,39.8290494,3.1173833,Entire home/apt,110,1,3,2024-05-30,0.11,69,364,1,ETVPL/12531
676657104171267708,Habitación amapolas,7619395,Isabel,,Palma de Mallorca,39.58246,2.64508,Private room,26,31,15,2024-11-02,0.54,2,146,2,
676805241297554845,Alojamiento entero en primera línea de playa,238902755,Guillermo,,Calvià,39.50947,2.53633,Entire home/apt,116,14,3,2024-07-28,0.17,6,360,2,
677186498434945288,Frijoles by Interhome,118347018,Tatiana - Interhome Group,,Campos,39.37196,2.943875,Entire home/apt,138,1,4,2024-11-03,0.28,28,192,2,ETV13569
677253555129470634,"Es Carreró , holiday home in Algaida",130722130,Fincas,,Algaida,39.559957236,2.893637299,Entire home/apt,95,1,30,2024-12-08,1.04,62,352,12,
677432759623360122,Magnífica villa con piscina centro de Mallorca,163414856,Llorens,,Montuïri,39.583276,2.965856,Entire home/apt,520,7,21,2024-10-23,0.76,4,234,10,
678038572343750685,Casa de campo en un entorno natural,131879534,Luis Guillermo,,Campos,39.37689017592621,3.0017925426363945,Entire home/apt,103,3,15,2023-10-20,0.54,1,165,0,
678616399271610876,Amazing seaviews Villa Voramar with pool  Sa Torre,275508973,Posima,,Llucmajor,39.43945,2.7500224,Entire home/apt,719,5,6,2024-06-30,0.30,19,108,3,ETV/8865
678664393122559705,"Encantador hostal familiar, cerca del centro.",471409823,Jaime,,Calvià,39.51139544647032,2.5416038957702503,Private room,500,1,3,2022-10-23,0.11,1,364,0,
678845976739471828,Can Yuca I - maison de plage bohème à s'Amarador,28086506,Diane,,Santanyí,39.34299,3.18294,Entire home/apt,217,3,16,2024-12-08,2.84,2,308,16,ETV/7754
678978148396699100,Ca'n Galindo Suau. Casa céntrica en Pollensa,307139780,Victor,,Pollença,39.879,3.01612,Entire home/apt,118,5,9,2024-09-10,0.34,1,0,7,
679381900540338742,"Piscina climatitzada, a prop de Pollença",377610127,Rentavillamallorca.Com,,Pollença,39.89046,3.02952,Entire home/apt,169,1,3,2023-08-26,0.15,32,121,0,VT/248
670669502377930660,Your ideal rest near the Balearic Sea |Equipped,466180577,Feelathome,,Palma de Mallorca,39.50701,2.75166,Entire home/apt,86,2,47,2024-11-09,1.68,6,281,22,AT/2199
670701966699778414,Cosy Apartment w/ view in Soller - Adults Only #A7,4250492,Maria,,Sóller,39.766847,2.7135783,Entire home/apt,179,1,76,2024-10-24,3.03,12,327,23,TI/221
670704373877929792,Cosy 2 Bedroom Apartment Soller - Adults Only #A6,4250492,Maria,,Sóller,39.766847,2.7135783,Entire home/apt,203,1,51,2024-10-27,2.14,12,326,24,TI/221
670755284776112508,Albercutx Pollentia 1,432584184,Holidu,,Pollença,39.908425,3.0824522,Entire home/apt,194,1,13,2024-09-28,0.45,69,360,6,ETV/15332
670866285082091770,Casa Previsio,8214313,Sunna,,Llucmajor,39.365266821,2.83891207,Entire home/apt,244,3,19,2024-10-19,0.68,1,86,13,ETV/15575
695645952035431324,Bio Casa,454710720,Christian,,Muro,39.71488,3.06322,Entire home/apt,,5,26,2024-04-12,0.94,1,0,1,ETV7065
695681390585298577,Villa Cortes Cerca del Mar,261393675,Maria,,Santa Margalida,39.73643,3.22309,Entire home/apt,60,4,15,2024-09-18,0.55,43,311,8,
696090194621339941,Apartamento Llenaire cerca playa,432584184,Holidu,,Pollença,39.8923,3.07583,Entire home/apt,104,1,0,,,69,365,0,ETVPL/13562
696182125108278892,Puerto Rico,432584184,Holidu,,Sóller,39.80023930624017,2.700311854942612,Entire home/apt,87,1,11,2024-11-12,0.51,69,363,5,ETVPL/14509
696895771079245940,Beach House Can Anni Son Serra de Marina,420653066,Natali Katrin,,Santa Margalida,39.73476,3.2263,Entire home/apt,,7,1,2023-06-11,0.05,1,11,0,
696973526510819487,El Palomar Finca Majorquine piscine et dependance,114984795,Anne,,Santanyí,39.34993523525792,3.1296087502624337,Entire home/apt,208,5,5,2023-10-20,0.19,1,249,0,ETV 1304/2017
697148615918419850,"Apartment Tamarells, balcony & pool Port Pollensa",19324418,Christine,,Pollença,39.900883,3.075483,Entire home/apt,70,4,11,2024-11-26,0.49,1,320,5,ETV PL/15587
697572905847594739,Stylish Villa with Terrace and Close to the Beach!,41863175,Daniel,,Alcúdia,39.8168567,3.1144257,Entire home/apt,236,6,8,2024-09-14,0.39,29,164,4,
697692451550359906,Villa La Vinyeta By homevillas360,117277192,Pep,,Pollença,39.89019,3.02786,Entire home/apt,305,1,0,,,72,0,0,ETV/1768
698453127719477689,Private villa with pool & marina view near beaches,334780042,Jonathan,,Alcúdia,39.86468109313807,3.1441205048934773,Entire home/apt,419,4,1,2023-09-06,0.06,1,151,0,ETV/4013
698491378882692671,Habitación en centro de Palma,302239031,Cintia,,Palma de Mallorca,39.56814,2.65108,Private room,55,1,129,2024-10-21,4.62,2,3,59,
698494772615477984,Wunderschönes Stadthaus mit Patio/ Townhouse,150534601,Florencia,,Manacor,39.57079,3.20914,Entire home/apt,,6,1,2022-12-04,0.04,3,30,0,
698910139632928924,Na Catalina Amazing Villa in Pollensa,12605352,Pepe,,Pollença,39.88691,3.01536,Entire home/apt,500,5,12,2024-10-15,0.60,22,125,5,ETV/505
698962236064032909,"Betlemet, Beach House 5StarsHome Mallorca",76875955,Team FiveStarsHome,,Artà,39.75515,3.31673,Entire home/apt,664,1,2,2024-10-27,0.34,142,162,2,VT/2042
699019218259175578,"Wohnmobil-Stellplatz Mallorca, no Unterkunft/Zelt",407864872,Finca,,Manacor,39.56214,3.27551,Entire home/apt,33,3,0,,,1,362,0,
699182014105383864,Piscina privada y playa a 2 kms (coche/taxi/bus),476220949,Antonio,,Llucmajor,39.4701905,2.7550958,Entire home/apt,300,3,22,2024-09-27,1.26,1,153,10,ETV 5871
699641630512345445,Villa Claramunda,4985887,Mallorca House Rent,,Santanyí,39.37153,3.22963,Entire home/apt,961,1,8,2024-09-29,0.42,75,94,2,ETV/15776
699692643584438228,2 People Bedroom · Private Bathroom · AC · Pool,476329275,Pepe,,Palma de Mallorca,39.58616,2.63602,Private room,50,2,34,2024-10-17,1.22,5,222,13,
699732757043571429,Estudio en Finca Son Guardiola 6,432584184,Holidu,,Llucmajor,39.465694,2.894705,Entire home/apt,90,1,3,2024-10-29,0.48,69,364,3,AG/204
699733811494529691,Estudio en Finca Son Guardiola 5,432584184,Holidu,,Llucmajor,39.465694,2.894705,Entire home/apt,90,1,1,2024-08-02,0.22,69,364,1,AG/204
699736577438995280,Estudio en Finca Son Guardiola 4,432584184,Holidu,,Llucmajor,39.465694,2.894705,Entire home/apt,90,1,4,2024-07-26,0.19,69,364,2,AG/204
699739321037411818,Estudio en Finca Son Guardiola 2,432584184,Holidu,,Llucmajor,39.465694,2.894705,Entire home/apt,90,1,1,2024-10-08,0.43,69,364,1,AG/204
699743404332912932,Apto dos dormitorios y jardin D,432584184,Holidu,,Llucmajor,39.465694,2.894705,Entire home/apt,116,1,6,2023-06-30,0.29,69,364,0,AG/204
654782076718703168,La Perla de Cala d'or 10,432584184,Holidu,,Santanyí,39.3643641,3.2235477,Entire home/apt,188,1,4,2024-09-17,0.14,69,359,3,ETV/4474
654783713588122807,Villa Tacaritx,376243856,Urban,,Alcúdia,39.86580993971855,3.1511691212654114,Entire home/apt,,1,4,2024-08-09,0.14,24,0,2,ETV/5107
