id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1125535769792085458,Suite Maison,570101515,Noureddine,Este - Alcosa - Torreblanca,"Colores, Entreparques",37.38528,-5.90215,Entire home/apt,123,1,0,,,1,120,0,Exempt
1125887999390124373,BeHouse San Clemente,7222663,María Valme,Casco Antiguo,San Lorenzo,37.40368,-5.99455,Entire home/apt,,2,24,2024-11-08,2.75,16,0,24,VFT/SE/12518
1125961054359270601,casa tranquila muy bien ubicada,68601310,Lola,San Pablo - Santa Justa,San José Obrero,37.39767,-5.97598,Private room,57,1,21,2024-12-08,2.64,3,266,21,Exempt
1126015297471562794,New! Ohliving San Vicente,172894482,Luis Guillermo,Casco Antiguo,San Lorenzo,37.3995757,-5.9985614,Entire home/apt,441,2,18,2024-12-04,2.49,28,124,18,VFT/SE/12190
1126126840003373982,Apartamento Setas Goyeneta,570240245,Juan Antonio,Casco Antiguo,Alfalfa,37.39251,-5.99165,Entire home/apt,185,2,16,2024-12-09,1.84,1,89,16,VFT/SE/11465
1126164336703703508,"Casa Mallén, en el corazón de Nervión",570251933,Maria De Gracia,Nervión,La Calzada,37.3878563,-5.9745833,Entire home/apt,280,1,5,2024-10-08,0.57,1,82,5,VUT/SE/13017
1126554348972138380,Top Location-Cozy Apart. Wifi-AC,80817564,Manuel,Casco Antiguo,Alfalfa,37.39067282965563,-5.997265393917841,Entire home/apt,113,2,4,2024-07-31,0.48,6,146,4,VFT/SE/06976
1126588462108635089,RentalSevilla Suite Mauricio,170512874,Esther,Casco Antiguo,Museo,37.3918256,-6.0008699,Entire home/apt,,1,5,2024-11-20,0.66,119,305,5,VFT/SE/03890
1126633161565151555,Santa Cruz 2,4015124,Angela,Casco Antiguo,Santa Cruz,37.38618,-5.98945,Entire home/apt,206,1,1,2024-10-27,0.45,3,152,1,A/SE/00140
1126658698854766877,Habitación corta estancia,103459564,Cristina,Cerro - Amate,"Santa Aurelia, Cantábrico, Atlántico, La Romería",37.383597231705046,-5.951598921924139,Private room,,5,2,2024-05-20,0.23,1,0,2,Exempt
1126748391204404588,Habitación con baño en Triana,570375953,Isabel,Triana,Triana Este,37.38237882562247,-6.002404203278391,Private room,181,2,10,2024-11-01,1.18,1,269,10,Exempt
1126818547668835481,Apartamento 1 Arce centro,551397022,Bassi,Casco Antiguo,San Vicente,37.39649,-5.9994992,Entire home/apt,62,2,15,2024-12-09,1.72,3,247,15,VFT/SE/02434
1126837516376942598,Apartamento en centro histórico,570413808,Lola,Casco Antiguo,Arenal,37.38414,-5.99547,Entire home/apt,132,2,14,2024-10-27,1.56,1,103,14,VFT/SE/04491
1126874924474502291,NEW! Luxury apt in Plaza de España | FREE parking,468355642,Karina,Nervión,San Bernardo,37.38193,-5.98378,Entire home/apt,181,1,32,2024-12-19,3.58,21,80,32,VUT/SE/13008
1126957839651108471,VioletaLoft A Sevilla with chill out terrace,113630190,Manuel,Triana,Triana Casco Antiguo,37.38851,-6.00739,Entire home/apt,130,2,4,2024-11-12,0.49,3,82,4,CTC-2024061106
1127293082052319431,Duplex con Piscina privada y Terraza.,350850417,Sevilla Hosting,Macarena,"Doctor Barraquer, G. Renfe, Policlínico",37.40381,-5.99099,Entire home/apt,157,1,6,2024-11-03,0.85,26,204,6,VUT/SE/00908
1127295426876952525,Holi-Rent Trastamara,111692752,Holi- Rent,Casco Antiguo,Museo,37.38995,-6.00186,Entire home/apt,60,1,22,2024-12-20,2.46,18,89,22,VFT/SE/02130
1127436459607926443,Apt 2 dor con terraza y piscina privada Triana,73573979,Mika,Triana,Triana Oeste,37.38824,-6.00852,Entire home/apt,233,1,20,2024-11-13,2.33,1,209,20,VFT/SE/03848
1127489766650008631,Barrio de Triana - Resitur,166618468,Francisco Javier,Triana,Triana Este,37.3797,-6.00018,Entire home/apt,103,2,15,2024-11-25,1.72,27,135,15,VUT/SE/00904
1127601690072207119,Habitación para 5 personas,384108835,Mina,Casco Antiguo,Feria,37.3965033780598,-5.990890356960562,Private room,125,1,13,2024-12-09,1.49,2,89,13,VFT/SE/05107
1127631111931387576,Apartamento-Loft  Centro Ciudad,33767144,Raúl,Nervión,an Roque,37.39075271324356,-5.983777416365568,Entire home/apt,106,1,17,2024-12-09,2.02,1,146,17,VUT/SE/13022
1127976602744728719,Bright Apt. Puerta Osario 3 Bedrooms 2 Bathrooms,570359403,Maria Carmen,Casco Antiguo,Santa Catalina,37.39408,-5.98464,Entire home/apt,161,1,8,2024-11-11,0.90,1,242,8,VUT/SE/09778
1128185655724750757,Seville Santa Justa Sunrise,510309759,María,San Pablo - Santa Justa,Las Huertas,37.39918175212755,-5.965247923561258,Entire home/apt,131,60,26,2024-08-25,2.99,1,269,26,VUT/SE/12662
1128194876384342390,Dúplex Moderno Alameda,7768205,SmartRent,Casco Antiguo,San Lorenzo,37.3991362,-5.9957252,Entire home/apt,166,1,7,2024-12-15,2.66,10,358,7,VUT/SE/133335
1128358930577161443,Betis Suites-La Campana Rosa,525995144,Andrés,Casco Antiguo,"Encarnación, Regina",37.3929321,-5.9949115,Entire home/apt,233,2,7,2024-12-08,0.88,3,363,7,VFT/SE/12143
1128779063443019307,ISG Apartments: Puerta Jerez Sevilla 2.1,182169184,Eduardo,Casco Antiguo,Santa Cruz,37.3829584,-5.9940935,Entire home/apt,174,1,55,2024-12-21,7.08,60,281,55,VFT7SE712774
1128852589049750711,Alohamundi San Roque,570870614,Jesus,Casco Antiguo,Alfalfa,37.39223960744601,-5.9981591870435444,Entire home/apt,126,2,46,2024-12-16,5.68,1,23,46,VFT/SE/12119
1128949677619437291,ISG Apartments:  Puerta Jerez Sevilla 1.1,182169184,Eduardo,Casco Antiguo,Santa Cruz,37.3821109448066,-5.994588609470047,Entire home/apt,184,1,47,2024-12-28,6.00,60,259,47,VUT/SE/12767
1129517806700612903,Los Naranjos de Zambra.,571011870,David,San Pablo - Santa Justa,San Pablo A y B,37.3918641,-5.9650737,Entire home/apt,400,1,6,2024-08-08,0.71,1,221,6,VFT/SE/12553
1129734836344804593,Escapada Santa Justa,570455393,Rosa María,Nervión,an Roque,37.39021,-5.9805,Entire home/apt,112,3,59,2024-12-29,6.65,1,119,59,VUT/SE/13012
1129760879218001003,Spacious 2 bedroom apt in the heart of Triana,468355642,Karina,Triana,Triana Casco Antiguo,37.38769177883825,-6.005095283244716,Entire home/apt,120,1,58,2024-12-30,7.40,21,112,58,VFT/SE/10177
1129836648719459885,Casa Señorial Piedrachica (Habitacion Exotica),512796542,Pp,Casco Antiguo,San Julián,37.395548305910125,-5.987591148959232,Private room,148,1,2,2024-06-09,0.26,4,150,2,CTC-2024070076
1130170647668433736,Luxury apartment Seville Center,571185343,Maria Angeles,Casco Antiguo,Alfalfa,37.3891504,-5.9905102,Entire home/apt,85,2,17,2024-11-05,2.06,1,78,17,VFT/SE/09660
1130201403720800395,Large and exclusive. Includes parking,263608493,Gerardo,Casco Antiguo,"Encarnación, Regina",37.394800955691174,-5.994784086942673,Entire home/apt,215,1,75,2024-12-27,8.56,6,130,75,VUT/SE/12506
1130348028659628402,¡Moderno y acogedor! Al estilo sevillano - SLZ,570577799,Agustí,Casco Antiguo,San Vicente,37.395808575991325,-5.996620672018471,Entire home/apt,127,1,6,2024-12-12,1.30,3,308,6,A/SE/00426
1130365904187273157,Un Rincón de Sevilla con Patio hecho para ti	- SLZ,570577799,Agustí,Casco Antiguo,San Vicente,37.3954103873233,-5.996014458612461,Entire home/apt,138,1,0,,,3,299,0,CTC-202XXXXXX
1130886253041556713,apartamento para 3 personas Triana,371380202,M Carmen,Triana,Triana Casco Antiguo,37.3858858,-6.004556699999999,Entire home/apt,1750,1,5,2024-06-23,0.61,20,90,5,VFT/47250
1130939240313228393,Apartamento Deluxe 2 Dormitorios,542524482,Slow Suites,Casco Antiguo,Alfalfa,37.39069,-5.9933983,Entire home/apt,244,1,7,2024-11-24,0.83,4,249,7,CTC-2023104961
1130949646757852526,Deluxe One Bedroom Apartment,542524482,Slow Suites,Casco Antiguo,Alfalfa,37.39069,-5.9933983,Entire home/apt,185,1,0,,,4,247,0,CTC-2023104961
1130978736751275630,Estiloso loft en pleno Arenal,14958822,Nacho,Casco Antiguo,Arenal,37.3850930499988,-5.995655078486577,Entire home/apt,135,2,43,2024-12-23,5.00,188,108,43,VUT/SE/12802
1130997806661647821,Apartamento Giulia,139719546,Araceli,Casco Antiguo,San Bartolomé,37.388375243942285,-5.986225945147631,Entire home/apt,75,2,3,2024-09-08,0.37,1,6,3,VFT/SE/12596
