id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1015698745371506053,"Majordoms - Auguabella, Ca l'Avi Joan",53861266,Els Majordoms,,Sant Feliu de Pallerols,42.07863,2.51265,Entire home/apt,219,1,2,2024-09-09,0.47,21,148,2,PG-000714
1015759915886986916,"Majordoms - Auguabella, Ca la Maria",53861266,Els Majordoms,,Sant Feliu de Pallerols,42.0778356,2.5124247,Entire home/apt,581,1,1,2024-02-18,0.09,21,196,1,PG-000713
1015817319208322130,"Majordoms - Auguabella, Cal Pi",53861266,Els Majordoms,,Sant Feliu de Pallerols,42.07706,2.51218,Entire home/apt,194,1,0,,,21,204,0,PG-000714
1015836381033491683,"Majordoms - Aiguabella, La Sisqueta",53861266,Els Majordoms,,Sant Feliu de Pallerols,42.07692,2.512,Entire home/apt,194,1,0,,,21,209,0,PG-000714
1015944039876854545,Milenial.Immo Olympe con parking,250571549,Milenial.Immo,,Roses,42.26716,3.14923,Entire home/apt,60,2,33,2024-11-11,2.44,45,267,26,HUTG-072399
1015944045741147414,Milenial.Immo Cristalmar,250571549,Milenial.Immo,,Castelló d'Empúries,42.23931,3.12369,Entire home/apt,76,2,39,2024-11-11,3.06,45,267,35,HUTG-013297
1016033554047009871,Apartamento con vistas al canal.,397477073,Yanina,,Castelló d'Empúries,42.24948,3.11938,Entire home/apt,130,1,8,2024-08-19,1.01,3,269,8,HUTG-057435
1016461312341297304,1 bedroom beautiful apartment in Tossa de Mar,141523992,Novasol,,Tossa de Mar,41.7218681,2.9334016,Entire home/apt,9999,1,4,2024-09-12,0.47,10,220,4,HUTG-029458
1016461313226020936,Nice apartment in Palamós with house sea view,141523992,Novasol,,Palamós,41.864365,3.112791,Entire home/apt,,1,0,,,10,93,0,HUTG-023946
1026825386732979282,Ático duplex a pie de pistas Sky,546596619,José María,,Alp,42.33802363318563,1.94180808853873,Entire home/apt,347,2,4,2024-12-01,0.31,2,182,3,HUTG-076855
1026894396408450542,Studio completo en planta baja de casa adosada,450667744,Philippe,,Castell-Platja d'Aro,41.811,3.03588,Entire home/apt,50,6,8,2024-09-29,0.88,1,268,8,Exempt
1027357552980875735,"Apt Pioner 1- swimming pool, parking, fantastic vi",86307032,SpainYourHome,,Sant Pere Pescador,42.1857,3.09042,Entire home/apt,650,1,0,,,32,160,0,HUTG-073540
1027519927746074275,Ca la Rosa 2,542664156,Alfred,,Llívia,42.46218,1.98368,Entire home/apt,146,2,0,,,2,174,0,HUTG-060930
1027573751025035024,Tranquilidad y Relax en El Molí de Creixell,6381947,Alain Nicon,,Borrassà,42.21095,2.93547,Entire home/apt,119,2,9,2024-11-04,1.41,1,177,9,HUTG-071454
